model,prompt,sentence_sha256,stance,topic,prompt_tokens,completion_tokens,sentence
gpt-5,codebook,36e4358480e91cdc3b613b372e7ae435b09a1e052de5c086c93d1dd45a0bf8dc,neutral,guidance,,,"The next scheduled date for announcing the overnight rate target is March 18, 2026."
gpt-5,codebook,37b5226015c7892736336f637af60da69756a72cb776f0325e385273688cb468,neutral,guidance,,,"Members also agreed that their assessments would take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments."
gpt-5,codebook,383baee475df90adcf4fbe4b10b0e636d5d24372d0a8b2c64c24d10e86cac935,neutral,inflation,,,"CPI inflation has been close to the 2% target for more than a year, while measures of core inflation remain in the range of 2½% to 3%."
gpt-5,codebook,38b775924c53f7e2924aac0b542cfb7d4b104217532023196819b2e9c155b8ff,neutral,guidance,,,Participants noted that their future policy actions would depend on incoming information.
gpt-5,codebook,39073ac52ae1e536d8f30030751b94a75fc143c0e096e12876227d8ea9843304,dovish,growth,,,US trade restrictions and uncertainty continue to disrupt growth in Canada.
gpt-5,codebook,39333b55d78bec0c4635f3a254a7857625e366a3a31a9a535259ecf027da2203,dovish,guidance,,,"The Bank of Canada today reduced its target for the overnight rate by 25 basis points to 2.5%, with the Bank Rate at 2.75% and the deposit rate at 2.45%."
gpt-5,codebook,398a2ffc88c1cfdbac46406302c61e2c4abfa90cc4c250baa3e5c49027697217,dovish,guidance,,,"Voting against this action was Stephen I. Miran, who preferred to lower the target range for the federal funds rate by 1/4 percentage point at this meeting."
gpt-5,codebook,398b48e7a8fc81f6b0252049b5697ff3fedffd8f72e55c30ee8232a855bec2c0,dovish,guidance,,,"In support of its goals and in light of the shift in the balance of risks, the Committee decided to lower the target range for the federal funds rate by 1/4 percentage point to 3-3/4 to 4 percent."
gpt-5,codebook,39f8cfef096d30d409c6a33600d6a33c2293deff3ef0ed4b5113707af7fc9dd7,neutral,financial_stability,,,Global financial conditions have eased further since July and oil prices have been fairly stable.
gpt-5,codebook,3ab8cad64fb53d4730c39ff3f72bf42d171b00ce046d781bfc46f2faea62f049,neutral,growth,,,Some participants suggested that those investments could boost productivity and thus aggregate supply.
gpt-5,codebook,3b177c2ec34ac76e7fa0639a46ffa45c4f576730e5d23f65fca086ef06ba7ec3,neutral,guidance,366,211,"Governing Council is proceeding carefully, with particular attention to the risks and uncertainties facing the Canadian economy."
gpt-5,codebook,3c7e33e251a7aae5a97ec4add102c868f6a0fe8a65834e266927daaec3c78bee,neutral,financial_stability,,,"In their discussion of financial stability, several participants noted that asset valuations remained elevated and that such conditions heightened the possibility of sharp corrections should adverse developments materialize."
gpt-5,codebook,3d798e72d478d326321208bfe9000aa6d23dcfa26292e29e19cb85495125bba3,neutral,employment,,,"Almost all participants observed that while the level of layoffs remained low, hiring remained low as well."
gpt-5,codebook,3e837a34d8a108c2a09c0f953a6584d93700ebad5bb292eed5237fe1b39e081a,dovish,employment,,,The labour market remains soft.
gpt-5,codebook,3f2570efe62d28b8a0a04fdcfeeab071633dd67b3a3bce5f8c368f1e3b201649,neutral,guidance,,,"Implementation Note issued July 29, 2026"
gpt-5,codebook,3f8a3dc4315558ad4fb6eb1525e687814c748e3ec9d96a6846f10b388f947604,neutral,financial_stability,,,A couple of participants cited risks associated with high levels of corporate borrowing.
gpt-5,codebook,40862f59873d0530dae388670cfc87f77b24c311dadd36007fd12f1f9a36e462,neutral,guidance,,,The presentation noted that the current share of Treasury bills in the SOMA portfolio was smaller than the bill share of total Treasury securities outstanding.
gpt-5,codebook,4127fb59e195cd93a7c6b2198f3ba8d07d360017d5ad07a0ff5baab0eb10633d,dovish,growth,,,"In the euro area, growth is subdued, with higher energy prices weighing on activity."
gpt-5,codebook,418eaad535c198489926a5f9b5a05109af0ba8c6a7dbc476d1a449fbacfac265,dovish,employment,357,148,Demand has softened and slack has emerged in the labour market.
gpt-5,codebook,419779d0bef27c0ede04906b339c704fc3d20f5eabe965721322cbed4dcf33de,neutral,growth,,,The outlook for economic growth in Canada is little changed from the January Monetary Policy Report (MPR) projection.
gpt-5,codebook,41f308203bb539d03e3e5627433cb9494c20e83b0bdd7406bcf722cd253c6694,hawkish,guidance,367,148,The Committee does not anticipate reducing the policy rate until it has greater confidence inflation is moving sustainably to two percent.
gpt-5,codebook,42eb7e77652a4cc776109a4767c9355c09721b2529f17e9409999d98b6bd2763,neutral,growth,,,Both are ongoing sources of uncertainty.
gpt-5,codebook,4345ec8fac3461a5105066fa1b72da402461f5c07890656eb2c6e3196aa01287,neutral,growth,372,210,"In the United States, the pace of growth moderated in the first half of 2025, but the labour market has remained solid."
gpt-5,codebook,43e817531845997a087ca4649eca86b53190fca93c3d1730286d6fca309087e3,hawkish,employment,359,212,Demand has not softened and no slack has emerged in the labour market.
gpt-5,codebook,443af6796575e088328ce468f93f7d60a832b298b5f990979d5325c3d33eb60f,dovish,inflation,,,Measures of core inflation have moved down to around 2% and the share of CPI components growing above 3% is close to its historical average.
gpt-5,codebook,44d22552c1e4bf1f03b47af715ada274c983fae5f3fd4b0807a436e9b64994ee,neutral,guidance,,,"The Federal Open Market Committee is referenced as the ""FOMC"" and the ""Committee"" in these minutes"
gpt-5,codebook,44f5ac46ef8e7b9f694f22e721fd625fb4921c6c13322429dcd3068148892fdf,neutral,inflation,,,"Perceived risks associated with trade policy developments contributed to an increase in near-term market measures of inflation compensation, while longer-horizon measures of inflation compensation rose more modestly."
gpt-5,codebook,44f6466a759064a0f536b661fad1958f27da9608802120f154965c7e86722cd7,dovish,guidance,,,"Against this backdrop, almost all participants supported reducing the target range for the federal funds rate 1/4 percentage point at this meeting."
gpt-5,codebook,45313d17dbdd87c73818f499f69ff82b7cff951e9ce934c954b43fc9a9e62452,dovish,employment,,,The Committee is attentive to the risks to both sides of its dual mandate and judges that downside risks to employment rose in recent months.
gpt-5,codebook,4572dca34155862b7ccd0f193802685e25dc234746410fc108950f95034a2ac5,neutral,guidance,,,We will support economic growth while ensuring inflation remains well controlled.
gpt-5,codebook,4592811fe5841902646eafa8defb0341ad8af8e86c444e006c7a0cc02b2f70e1,neutral,inflation,363,403,"Based on a range of indicators, underlying inflation is assessed to be around 2½%."
gpt-5,codebook,4624a2a1701c0e758df7334a176019926afbef4af927974ad7c290cfee7a0a97,neutral,financial_stability,,,The manager then turned to market pricing of risky assets.
gpt-5,codebook,467aaeee8f572c7735b36d8bc2a0d696c283768a2414ccb6b84f5410e70997cb,hawkish,inflation,,,Governing Council is looking through the war’s immediate impact on inflation but will not let higher energy prices become persistent inflation.
gpt-5,codebook,46d202e6926a9fd94258edc0581cdda10f840d6fdbf6f5a16d1811b443da26fa,neutral,guidance,,,"In line with the stable outlook, investors' expectations for the path of the policy rate, whether market based or survey based, were virtually unchanged over the period."
gpt-5,codebook,474c00d5a98fab676bac685af829861c2446ab4a5201eb194773f3e0ac68c893,neutral,growth,,,"Major economies around the world continue to show resilience to US trade protectionism, but uncertainty is still high."
gpt-5,codebook,47aaa28b1d89c7c39e17ed5d7aab2ad3cca0cfdff0c497fd77942250d58dad63,neutral,financial_stability,,,Canada’s exchange rate has been stable relative to the US dollar.
gpt-5,codebook,47e2adea0627c0bbb83d9e1ad69af5b3261ff9e1de99242545a226cf84b1fa27,neutral,guidance,,,"In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook."
gpt-5,codebook,490e5ab0c814cacd310ecb21af1c047b89daca24c8352c67fe0a40382457bb0c,neutral,guidance,,,"Implementation Note issued January 28, 2026"
gpt-5,codebook,49dbffb12b5f58859d946fa71c3dd13e2e3c53f170bdb36edba60fd700d159ed,dovish,growth,,,"On balance, risks to the forecasts for employment and real GDP growth were seen as tilted somewhat to the downside."
gpt-5,codebook,4a0130d68252979fee0b00e3fe5860a8734afd0e9bae3211f7451e3dfbab638e,neutral,inflation,370,147,how much and how quickly cost increases from tariffs and trade disruptions are passed on to consumer prices; and how inflation expectations evolve.
gpt-5,codebook,4a02cc749f0a91abef47cd4e14ca56ded0469143ad3f4f0302103b87fdc75b5f,hawkish,growth,,,"With GDP growing slightly above potential, the current excess supply in the economy is gradually absorbed."
gpt-5,codebook,4a5bb980746bcf824035f2e1b428b33fe635b2f72b8770602e888de11afd84b4,neutral,guidance,,,"Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Michael S. Barr; Michelle W. Bowman; Lisa D. Cook; Philip N. Jefferson; Anna Paulson; and Christopher J. Waller."
gpt-5,codebook,4a617c64136d237183fe5ee0fca1e76a8804091b3500b6bd094466416775e33b,neutral,growth,,,Consumption and housing activity both grew at a healthy pace.
gpt-5,codebook,4a86a64cdeae1d84130f661bb352719180733de4fcefac97b6e8dbaff7d6f002,neutral,growth,,,"December 10, 2025 Available indicators suggest that economic activity has been expanding at a moderate pace."
gpt-5,codebook,4bb09d3db52586464303c2c4cad88df4173fe57067a44316dc6e9f2b822dc77e,neutral,guidance,,,The Bank’s next MPR will be released at the same time.
gpt-5,codebook,4cd931f79079f5a4ce5302e6a20f5cf48067b27dd5657f65a233716f0969d4d7,neutral,financial_stability,,,Interest rates on commercial and industrial (C&I) and short-term business loans remained elevated relative to their post-GFC averages.
gpt-5,codebook,4d0485cca0ba753949b752df4dd21d22a21dcfc7f91a9f4e9a4a02392dbde15f,neutral,guidance,,,"Governing Council judges the current policy rate remains appropriate to sustain the economic recovery and bring inflation back to the 2% target, in line with the MPR projections."
gpt-5,codebook,4d851787bc0875d66bf8f42248970e1dc44541b591b99c76f79de2148336528d,neutral,growth,358,210,"how much this spills over into business investment, employment and household spending"
gpt-5,codebook,4e1c41ac44c3faeb9a1d4cea40346806ba3e53fefe17417bd53936ca9dc65339,dovish,growth,,,"However, these positive influences on the outlook were offset by weaker-than-expected spending data and a smaller assumed population boost from net immigration."
gpt-5,codebook,4e8a960877535eb098d09ee86e4f226bdba34d1aa284c3420657c0062463d48d,neutral,guidance,,,"June 17, 2026 The Federal Open Market Committee approved the following statement for release by a 12 â 0 vote: The Committee decided to maintain the target range for the federal funds rate at 3-1/2 to 3-3/4 percent, in support of the Federal Reserve's dual mandate."
gpt-5,codebook,4f5da480dcaae86e52add7673e54caa3ced0c45dfbe33ff240a1d4479766c1fe,dovish,growth,,,"Canada’s GDP data over the past year was choppy and growth stalled as the economy adjusted to new tariffs, high uncertainty and slower population growth."
gpt-5,codebook,4ffcfe60f8196d539e7ea099b96c34c813ed2795ada35bc0c83e66ffcd484b39,neutral,financial_stability,,,The Canada-US dollar exchange rate has remained relatively stable.
gpt-5,codebook,5018b6097cca5a9b53f0f825db504e55d5bb4a3e136e338f5025c6404b0d0b58,neutral,inflation,,,We are also monitoring the unfolding conflict in the Middle East closely and assessing its impact on growth and inflation.
gpt-5,codebook,51f712888c6321a5273f5fffd027a36715c36fa59af47fabac389a74ed4779f7,neutral,guidance,,,"The next scheduled date for announcing the overnight rate target is January 28, 2026."
gpt-5,codebook,542bb98229c991a769280e64ec0d0ae4476f17e107791666d29eb58816447d74,neutral,growth,,,"Growth is forecast to pick up in 2026, although uncertainty remains high and large swings in trade may continue to cause quarterly volatility."
gpt-5,codebook,549c607e3e935128ac5bc7470dd52ced4efcf290ede19eccb74f25681304acc9,neutral,guidance,,,"The Bank’s next MPR will be released on July 15, 2026."
gpt-5,codebook,54e2cdb6a35ad68f0fccaefd42cac48717905a96791e342051e648f5416a177e,neutral,financial_stability,,,Canadian financial conditions have loosened since the April Monetary Policy Report .
gpt-5,codebook,54faff288b3946d695f198edec9b60feeb36b4addd666fad72f40718494c7f8f,hawkish,inflation,,,"In the near term, CPI inflation is likely to be higher due to the effects of last year’s GST/HST holiday on the prices of some goods and services."
gpt-5,codebook,5502e9c3d65c0de16bdce10be796273fdf18b8290b563e629c18a6bbd8292c5c,dovish,growth,,,"Exports fell by 27% in the second quarter, a sharp reversal from first-quarter gains when companies were rushing orders to get ahead of tariffs."
gpt-5,codebook,550f1774276bb10693acdf96c9c80d5245ccd6958cacf947c4dc25e2cd5a1e7d,neutral,growth,,,"The Bank projects GDP will grow by 1.2% in 2025, 1.1% in 2026 and 1.6% in 2027."
gpt-5,codebook,558493c07fb09836793c0582582327de936007ebfae997d66f1a354835a31b1d,neutral,guidance,,,"For media inquiries, please email [email protected] or call 202-452-2955."
